Original_Word,translated_words
-ANISHA ENTERPRISE-,-anisha ???????????? 
-ANISHA-,-anisha- 
A-MAX Time,???? - ??????? ???? 
A-MAXx Time,???? - ??????? ???? 
AMATO-r,amato-r 
AMAXS,????????? 
AMAZE STORE,??????? ????? 
AMAZING ONLINE SHOPPING BD,????????? ?????? ???? ???? 
AMAZINGthing,???????????? 
AMAZLINEN,???????????? 
AMAZON EXPRESS,????? ????????? 
AMAZON PRIME,????? ?????? 
AMAZON USA,????? ????? 
AMB,???? 
AMB Sports Management,???? ???????? ???????????? 
AMBAR KENANGA,?????? ???????? 
AMBASSADOR,????????? 
AMBI PUR,????? ??? 
AMBIANCE APPAREL,?????????? ?????? 
AMBIANCE AROMATHERAPY,?????????? ?????????????? 
AMBIEL,??????? 
AMBIENTE,????????? 
AMBROS,??????? 
AMBY HEX,????? ????? 
AMCON,???? 
AMD,??? 
AMD Radeon R7,??? ?????? ?? 
AMD Ryzen Desktop,??? ?????? ??????? 
AMDECO,?????? 
AME Fashion,? ?? ? ?????? 
AME Wheels,? ?? ? ????? 
AME's,???? 
AMEGO,???? 
AMEISE,????? 
AMELIA,??????? 
AMERGUARD,????????? 
AMERICA SUPERMAN,??????? ?????????? 
AMERICAN EAGLE OUTFITTERS,???????? ??? ??????????? 
AMERICAN FASHION,???????? ?????? 
AMERICAN MERCANTILE,???????? ???????????? 
AMEX Express,?????? ????????? 
AMG,??? 
AMG Titanium,??? ?????????? 
AMI,??? 
AMI ALEXANDRE MATTIUSSI,??? ???????????? ??????? 
AMICIZIA,????????? 
AMIDA,????? 
AMIERQ,?????? 
AMIGA,????? 
AMIGOO,????? 
AMII,???? 
AMILite,??????? 
AMIN BROTHERS,???? ????????? 
AMIN EMPORIUM BD,???? ?????????? ???? 
AMINA,????? 
AMINOX,??????? 
AMIOO,???? 
AMIR CORPORATION,???? ????????? 
AMIRAH,?????? 
AMIT & BROTHER'S,???? ???? ????????? 
AMIT AND BROTHERS,???? ??????? ????????? 
AMJ FURNITRE,? ?? ?? ???????? 
AMJAD TEA,????? ?? 
AMK,??? 
AMKOV,???? 
AMLEDTEK,????????? 
AMMDENT,????????? 
AMMEX,???????? 
AMN Telecom,???? ?????? 
AMOFFI,?????? 
AMOLamp,?????????? 
AMON,????
AMORA,????? 
AMORE DEODORANT,??? ?????????? 
AMORE DEODORANT SPARY WOMEN,??? ?????????? ?????? ????? 
AMORE DEODORANT SPRAY MEN,??? ?????????? ??????? ??? 
AMORE EAU DE TOILETTE,??? ???? ?? ??????? 
AMORE EAU DE TOILETTE WOMEN,??? ???? ?? ??????? ????? 
AMOREPACIFIC,????????????? 
AMORUS,????? 
AMOSC Enterprise,???? ???????????? 
AMOVOL,????? 
AMP NetConnect,???? ???????? 
AMPORLO,??????? 
AMPRO,??????? 
AMQ JEWELLED,??? ?????? 
AMQ JEWELLED BUG,??? ?????? ??? 
AMR Multimedia,???? ???????????? 
AMR SHOP,???? ?? 
AMR TRADING,???? ??????? 
AMRAN,?????? 
AMRIN,?????? 
AMRJ TRADE INTERNATIONAL,????? ????? ?????????????? 
AMRO WEAR,???? ?????? 
AMS,? ?? ?? 
AMS Gadget,? ?? ?? ??????? 
AMTRITAXAR,??????????????? 
AMUDA,????? 
AMW,? ?? ????? 
AMW Beauty Queen BD,? ?? ????? ????? ???? ???? 
AMWAL JAYA,?????? ???? 
AMY TAN,?????? ??? 
AMYAS,????????? 
AMYCOULEE,?????????? 
AMZ,? ?? ??? 
AN,????? 
AN Creative,????? ??????? 
AN ELECTRONICS,????? ????????????? 
AN Electronic,????? ??????????? 
AN Enterprise,????? ???????????? 
AN Enterprises,????? ?????????????? 
AN MU XI,????? ?? ????? 
AN Online Shop (KHL),????? ?????? ?? (?????) 
ANA,??? 
ANABELLE,????????? 
ANAC,??????? 
ANADY,???????? 
ANAFELI,?????????? 
ANAKKU,??????? 
ANAKKU Signature,??????? ???????? 
ANAMIKA CLOTH STORE,??????? ???? ????? 
ANAMIKA ENTERPRISE,??????? ???????????? 
ANAN,?????? 
ANAN Enterprise,?????? ???????????? 
ANANDA_SHOP,?????_?? 
ANANNA E-MART,???????? ?-????? 
ANAS,???? 
ANAYA CRAFTS,????? ?????????? 
ANBEIER,??????? 
ANC,???? 
ANCEL,?????? 
ANCHIKUDO HOME,??????????? ??? 
ANCHOR BD,??????? ???? 
ANCHOR CLOTHING,??????? ??????? 
ANCHOVY,???????? 
AND Medical,??????? ??????? 
ANDAAZ BY WASIM,?????? ??? ?????? 
ANDELI,??????? 
ANDER,?????? 
ANDIER,??????? 
ANDKYWD,???????? 
ANDREA POMPILIO,????????? ???????? 
ANDREW,???????? 
ANDRea VaNNA,????????? ?????? 
ANDReaVaNNA,??????????????? 
ANE SKIN COMPANION,?????? ????? ???????????? 
ANE'S,??????? 
ANELLO BAG,?????? ????? 
ANENG,???? 
ANENTU,??????? 
ANF,??? 
ANGASHREE,????????? 
ANGEL CLOVER,?????? ?????? 
ANGEL EYES,?????? ??? 
ANGEL POS,?????? ?? 
ANGEL RECIPE,?????? ?????? 
ANGEL SHOP,?????? ?? 
ANGELIEBE,????????? 
ANGELS,??????? 
ANGELS AND DEMONS,??????? ??????? ?????? 
ANGFA,???? 
ANGG,???? 
ANGGUN SERI,?????? ???? 
ANGIE LAN DOU,?????? ??? ?? 
ANGIENB,???????? 
ANGLOMANIA,?????????? 
ANGOSRI,????????? 
ANGUS OUTDOOR TEAK,?????? ?????? ??? 
ANH WAX,??? ?????? 
ANHA,???? 
ANI,??? 
ANIK ENTERPRISE,???? ???????????? 
ANIMAL PARADISE,????????? ?????????? 
ANIMEDICA,???????????? 
ANIOS,????? 
ANIQMA,?????? 
ANIRAS COLLECTION,?????? ??????? 
ANISHA ENTERPRISE,????? ???????????? 
ANIUS,????? 
ANJE COUTURE,???? ????? 
ANJE REBEL,???? ????? 
ANJING,?????? 
ANJUNA,??????? 
ANKEMING,???????? 
ANKUR SHOP,?????? ?? 
ANKURS COLLECTION,??????? ??????? 
ANLEO,????? 
ANLUD,????? 
ANM Brothers,? ?? ?? ????????? 
ANM Brothers2020,? ?? ?? ???????????? 
ANMATA,??????? 
ANMINGPU,???????? 
ANML,????? 
ANML Unleashed,????? ?????? 
ANMYNA product,??????? ????????? 
ANMYNA pure cream,??????? ???? ????? 
ANN TAYLOR,????? ????? 
ANN&KIDS,?????? 
ANNA,????? 
ANNAFARAH,?????????? 
ANNAPURNA,?????????? 
ANNAX SHOP BD,???????? ?? ???? 
ANNBELLA,???????? 
ANNE KING,????? ??? 
ANNESITA ARANG,????????? ???? 
ANNEX,???????? 
ANNNWZZD,?????????? 
ANewPow,?????? 
Am-Chi Mall,???-?? ?? 
AmLactin,?????????? 
AmScope,????? 
Amato,????? 
Amatokin,??????? 
Amax,???????? 
Amaya,????? 
Amazan BD,???????? ???? 
Amazan.BD.E-Commerce,???????? ???? ?-?????? 
Amaze Shop,??????? ?? 
Amazeballs,????????? 
AmazedON,??????? 
Amazer,?????? 
Amazeskin,?????????? 
Amazin' Graze,?????????' ????? 
Amazin'graze,?????????????? 
Amazing,????????? 
Amazing  Jeans,????????? ?????? 
Amazing Air,????????? ???? 
Amazing Ayurveda,????????? ???????? 
Amazing Bags & Cosmetics,????????? ?????? ???? ????????? 
Amazing Bazar BD,????????? ????? ???? 
Amazing Collection BD,????????? ??????? ???? 
Amazing Comforts,????????? ??????? 
Amazing Core Fitness,????????? ??? ?????? 
Amazing Fashion,????????? ?????? 
Amazing Fuel saver,????????? ????? ????? 
Amazing Gift Shop,????????? ???? ?? 
Amazing Grass,????????? ????? 
Amazing Holidays,????????? ?????? 
Amazing Home,????????? ??? 
Amazing Leggings,????????? ?????? 
Amazing Liffe,????????? ????? 
Amazing Malay Herbs,????????? ???? ?????? 
Amazing Mask,????????? ????? 
Amazing Nutrition,????????? ????????? 
Amazing Reads,????????? ?????? 
Amazing Thailand,????????? ?????????? 
Amazing Traders,????????? ???????? 
Amazing Travel Gear,????????? ??????? ????? 
Amazingbox,????????????? 
Amazon ART,????? ???? 
Amazon Kindle,????? ?????? 
Amazon Mall,????? ?? 
Amazon Music,????? ?????? 
Amazon Outlet,????? ?????? 
Amazon Prime Video,????? ?????? ????? 
Amazon.bd,????? ???? 
Amazonia,??????????? 
Amazonia Teak,??????????? ??? 
Ambalebd,?????????? 
Ambassador International,????????? ?????????????? 
Amber,?????? 
Amber Beila Colors of Beauty,?????? ????? ?????? ?? ????? 
Amber Elite Fight Gear,?????? ????? ???? ????? 
