madness,meDnes
pub,pab
aero,erO
fire,fayar
foce,fOrrs
lite,laiT
matic,meTik
aes,es
out,auT
hydration,????????? 
aetco,eTkO
aet,eT
af,aef
chery,ceri
lighting,laiTing
cloth,kloth
creat,krieT
enterprise,???????????? 
colen,kolen
gallery,gelari
ele,eli
afs,e ef es
classic,klasik
hold,hOlD
ght,T
hour,awyar
care,keyar
race,res
shock,Sok
touche,Tace
against,egainsT
grain,grein
agc,e ji si
stop,sTop
five,faiv
agelo,egelO
agetel,ejtel
agf,e ji ef
agil,ejail
ply,poly
agm,e ji em
agn,e ji en
agp,e ji pi
cola,kOla
cultur,kalcar
merchan,marrcen
tradi,tredi
sea,si
chew,ceo
sock,Sok
ahp,e eic pi
