Column1,Column2,
acne,ek,"'acne':'ek',"
acne,ekni,"'acne':'ekni',"
acno,eknO,"'acno':'eknO',"
aco,eKO,"'aco':'eKO',"
ako,eKO,"'ako':'eKO',"
corn,krn,"'corn':'krn',"
acos,eKOs,"'acos':'eKOs',"
sound,saunD,"'sound':'saunD',"
tic,Tik,"'tic':'Tik',"
acous,eKOs,"'acous':'eKOs',"
tune,Tiun,"'tune':'Tiun',"
acqua,eKuya,"'acqua':'eKuya',"
acquire,ekuyer,"'acquire':'ekuyer',"
acr,ekrO,"'acr':'ekrO',"
acs,e si es,"'acs':'e si es',"
acservice,ek sarrvic,"'acservice':'ek sarrvic',"
acti,ekTi,"'acti':'ekTi',"
gurad,garrD,"'gurad':'garrD',"
action,ekshon,"'action':'ekshon',"
plus,plas,"'plus':'plas',"
tual,cual,"'tual':'cual',"
acu,eku,"'acu':'eku',"
acw,e si doublu,"'acw':'e si doublu',"
acwell,ekOyel,"'acwell':'ekOyel',"
acz,e si jeD,"'acz':'e si jeD',"
adb,eDibi,"'adb':'eDibi',"
adc,eDisi,"'adc':'eDisi',"
adda,aDDa,"'adda':'aDDa',"
time,Taim,"'time':'Taim',"
addic,eDik,"'addic':'eDik',"
addi,eDi,"'addi':'eDi',"
ade,eDe,"'ade':'eDe',"
adfi,eDfi,"'adfi':'eDfi',"
adfweb,eDief Oyeb,"'adfweb':'eDief Oyeb',"
adha,eDha,"'adha':'eDha',"
dic,dik,"'dic':'dik',"
ches,ces,"'ches':'ces',"
chil,cil,"'chil':'cil',"
clin,kilin,"'clin':'kilin',"
cloud,klauD,"'cloud':'klauD',"
coc,KOk,"'coc':'KOk',"
controller,kOnTrolar,"'controller':'kOnTrolar',"
cosme,kosme,"'cosme':'kosme',"
crazy,krezi,"'crazy':'krezi',"
doll,Dol,"'doll':'Dol',"
energy,enarji,"'energy':'enarji',"
fabrics,febriks,"'fabrics':'febriks',"
figures,figars,"'figures':'figars',"
game,gem,"'game':'gem',"
gel,jel,"'gel':'jel',"
tick,Tik,"'tick':'Tik',"
herb,harrb,"'herb':'harrb',"
house,haus,"'house':'haus',"
board,bOrrD,"'board':'bOrrD',"
gic,jik,"'gic':'jik',"
nutra,niuTra,"'nutra':'niuTra',"
nutri,niuTri,"'nutri':'niuTri',"
gin,jin,"'gin':'jin',"
patch,pech,"'patch':'pech',"
per,par,"'per':'par',"
rocket,rOkeT,"'rocket':'rOkeT',"
screw,isKuru,"'screw':'isKuru',"
stu,isTu,"'stu':'isTu',"
sun,san,"'sun':'san',"
sur,sar,"'sur':'sar',"
tabco,TebkO,"'tabco':'TebkO',"
toothpaste,TuthpesT,"'toothpaste':'TuthpesT',"
trader,TreDar,"'trader':'TreDar',"
ultra,alTra,"'ultra':'alTra',"
uni,iuni,"'uni':'iuni',"
woman,Oyemen,"'woman':'Oyemen',"
star,sTar,"'star':'sTar',"
well,Oyel,"'well':'Oyel',"
web,Oyeb,"'web':'Oyeb',"
nut,naT,"'nut':'naT',"
magic,megik,"'magic':'megik',"
