Original_Word,translated_words
ADVANTEK,অ্যাডভান্টেক 
ADVANTEK - HEALTH TECK,অ্যাডভান্টেক - হেলথ টেক 
Advanti Racing Wheels,অ্যাডভান্টি রেসিং হুইলস 
Advascience,অ্যাডভাসাইন্স 
Advent,অ্যাডভেন্ট 
Adventure Cove Water Park,অ্যাডভেঞ্চার কোভ ওয়াটার পার্ক 
Adventure Madness,অ্যাডভেঞ্চার ম্যাডনেস 
Adventure Medical Kits,অ্যাডভেঞ্চার মেডিকেল কীটস 
Adventure Publications,অ্যাডভেঞ্চার পাবলিকেশনস 
Adventure shop,অ্যাডভেঞ্চার শপ 
Adventure World,অ্যাডভেঞ্চার ওয়ার্ল্ড 
adventurer,অ্যাডভেনঞ্চারর 
Adverson,অ্যাডভারসন 
Advertix MediaWorks,অ্যাডভেরটিক্স মিডিয়াওয়ারক্স 
Advion,আদ্ভিওন 
ADVISORY,অ্যাডভাইসরি 
Advocate,এডভোকেট 
Adwa,আদ্বা 
Adwaita,আদ্বাইতা 
ADZRA,আদয্রা 
AE,এর 
AE Group,এর গ্রুপ 
AE Lab,এর ল্যাব 
AE MALL BD,এর মল বিডি 
AE POMEDATION,এর পমেদাশন 
AE Product,এর প্রোডাক্ট 
AE STAMP,এর স্ট্যাম্প 
AE STORE,এর স্টোর 
AECO,এইকো 
Aedda,আএদ্দা 
Aedle,আইডলে 
Aeerohma,আঈরহ্মা 
Aegis,এগিস 
Aegis Gaming,এগিস গেমিং 
Aegisu,এগিসু 
Aeishaere,আইশাএরে 
AEKU,আএকু 
Aekyung,আএকিউং 
aem,আএম 
AEM Borneo Pearls,আএম বরনেও পেয়ারলস 
AEMANISA,আএমানিসা 
AE-Mart,ae-mart 
Aeodokomd,আএওদকমদ 
AEOLIAN REVOLUTION,আএওলিয়ান রেভলুশন 
Aeolus Down,আএওলুস ডাউন 
Aeon,আএওন 
AEON BIG,আএওন বিগ 
Aeon Fashion Knitwear Ltd.,আএওন ফ্যাশন নিতওয়ের লিমিটেড 
AEONAZ,আএওনায 
Aerahaus,আএরাহাউস 
Aerator,আএরাটর 
Aerb,আএরব 
Aerfas,আএরফাস 
Aerfeis,আএরফেইস 
AerGun,আএরগুন 
AERIA GAMES,আএরিয়া গেমস 
Aerial,আএরিয়াল 
AERICO,আএরিচ 
Aerin,আএরিন 
Aeris,আএরিস 
aerka,আএরকা 
AERMECO,আয়েরমেকো 
Aero Cosmetics,এরো কসমেটিক্স 
Aero Fit,এরো ফিট 
Aero Vision,এরো ভিসন 
AEROBAG,এরোব্যাগ 
AeroBlue,এরোব্লুএ 
AEROFIRE,এরোফায়ার 
AEROFOAM,এরোফোম 
AEROFORCE,এরোফোর্স 
Aerofume,এরোফুম 
Aeroguard,এরোগার্ড 
Aerohive,এরোহিভ 
Aerolite,এরোলাইট 
Aeromatic,এরোমাটিক 
AEROMIX,এরোমিক্স 
Aeromix Jinzhen,এরোমিক্স জিনযহেন 
AeroMoov,এরোমুভ 
Aeropak,এরোপাক 
Aeropostale,এরোপস্টেল 
AeroSIMRC,এরোসিম্রচ 
AeroSleep,এরোস্লীপ 
Aerosoft,এরোসফত 
Aerosoft GmbH,এরোসফত গ্মভ 
Aerosoles,এরোসোলস 
Aeroson,এরোসন 
Aerotech,এরোটেক 
Aerotek,এরোতেক 
Aery jo,এরি জো 
AeryJo,এরিজ 
AES,এস 
Aeskimo,এস্কিমো 
Aesop,এসপ 
AESTHETIC,এস্থেটিক্ 
Aesthetic Footwear,এস্থেটিক্ ফুটওয়্যার 
AESTHETIC Inc.,এস্থেটিক্ ইনকরর্পোরেট 
Aesthetic Outfitters,এস্থেটিক্ আউটফিট্টারস 
Aesthetic Town,এস্থেটিক্ টাউন 
Aesthetic Wellness,এস্থেটিক্ ওয়েলনেস 
Aesthetics Hydration Cosmetics,এস্থেটিক্স হাইড্রাশন কসমেটিক্স 
Aestival Elements,এস্টিভাল এলিমেন্টস 
AETCO,আএতকো 
AETOO,আএতু 
AETool, 
AEVA,আএভা 
AEVISION,আএভিসন 
AEW,আএও 
Aexus Network,এক্সুস নেটওয়ার্ক 
AeZ,আএয 
AF archery,আফ আরচারি 
AF brand,আফ ব্রান্ড 
AF Lighting,আফ লাইটিং 
AF Online,আফ অনলাইন 
AF SURGICAL,আফ সারজিকাল 
AF TECHNOLOGY,আফ টেকনোলজি 
AF&H,af&h 
AFA BATIK,আফা বাটিক 
AFA DESIGN FASHION,আফা ডিজাইন ফ্যাশন 
AfaMAxx,আফামেক্স 
A'Famosa Resort,আফামোসা রিসর্ট 
A'FamosaResort,আফামোসা্রিসোর্ট 
Afan E-shop,আফ্যান ই-সপ 
AFC,এ এফ সি 
Afdal,আফডাল 
AFDHAL,আফধাল 
Afe,আফে 
Afe Clothing Co.,আফে ক্লোথিং কোম্পানি 
AFELEIA,আফেলেইয়া 
afesar,আফেসার 
Affiaa Fashion House,আফফিয়া ফ্যাশন হাউস 
Affinage,আফফিনেজ 
Affinity,আফফিনিটি 
Affinity Creation,আফফিনিটি ক্রিয়েশন 
Affix,আফফিক্স 
Affix Fashion,আফফিক্স ফ্যাশন 
Affix Furniture,আফফিক্স ফার্নিচার 
Affliction,আফফ্লিকশন 
Afflon,আফফ্লন 
Affluence Shop,এফুলেঞ্ছ শপ 
AFFNITY,আফফনিটি 
AFFORD,এফোর্ড 
AFFORDA,এফোর্ডা 
Affordable Stuff,এফোর্ডেবল স্টাফ 
Affordable000,এফোর্ডেবল০০০ 
AffordableStuff,এফোর্ডএবলস্টাফ 
Affordees,এফোর্ডীস 
affresh,আফফ্রেশ 
AFFRESH CLEANER,আফফ্রেশ ক্লিনার 
AFI,আফি 
afia,আফিয়া 
Afia Fashion,আফিয়া ফ্যাশন 
Afia fasion,আফিয়া ফ্যাশন 
Afia Shari Ghor,আফিয়া শাড়ি ঘর 
AFIA SHOE COLLECTION,আফিয়া শু কালেকশন 
Afiat CafÃ©,আফিয়াত cafã© 
Afif Enterprise Bd,আফিফ এন্টারপ্রাইস বিডি 
Afif Entrprise Bd,আফিফ এন্টারপ্রাইস বিডি 
Afif Shop,আফিফ শপ 
Afif Shop BD,আফিফ শপ বিডি 
Afifa,আফিফা 
Afifa Collection,আফিফা কালেকশন 
AFIFA fashion,আফিফা ফ্যাশন 
Afifa Fashion & Butics,আফিফা ফ্যাশন এন্ড বুটিক্স 
Afifa Fashion | BD,আফিফা ফ্যাশন | বিডি 
Afifa Store,আফিফা স্টোর 
AFII Hijab Gallery,আফিই হিজাব গ্যালারি 
AfiiExpress,আফি এক্সপ্রেস 
Afiqmart,আফিকমার্ট 
Afishlure,আফিশ্লুরে 
AFISHTOUR,আফিস্টুর 
AFITCOLEN,আফিটকোলেন 
Afiya Telecom,আফিয়া টেলিকম 
AFIZAN,আফিযান 
Afjal,আফজাল 
AFK Textile,এ এফ কে টেক্সটাইল 
AFL,এ এফ এল 
AFLAH EXCLUSIVE,আফ্লাহ এক্সকলুসিভ 
AFLIZON,আফ্লিযন 
Aflote Inc,আফ্লত ইনকরর্পোরেট 
Afmian,আফমিয়ান 
Afnan Optics,আফনান অপ্টিক্স 
AFNAN Perfume LLC,আফনান পারফিউম ল্লচ 
AFNAN PERFUMES,আফনান পারফিউমস 
Afnas Store,আফনাস স্টোর 
AFO,আফ 
Aforza's Collection's,আফরোজাস কালেকশন্স 
AFR,আফ্র 
AFR FASHION,আফ্র ফ্যাশন 
AFRA,আফ্রা 
Afra Collection,আফ্রা কালেকশন 
AFRA Enterprise,আফ্রা এন্টারপ্রাইস 
Afra Fashion,আফ্রা ফ্যাশন 
Afra Fashion Bd,আফ্রা ফ্যাশন বিডি 
Afra Mart,আফ্রা মার্ট 
AFRA STORE,আফ্রা স্টোর 
Afrah Fashion,আফ্রাহ ফ্যাশন 
AFrahim's Gallary,আফরাহিমস গ্যালারি 
AFrahim'sGallary,afrahim'sgallary 
Afran Gallery House,আফ্রান গ্যালারি হাউস 
Afra's Collection,আফরাস কালেকশন 
AFRAZ ELECTRONICS,আফ্রায ইলেক্ট্রনিক্স 
AFREEN ENTERPRISE BD,আফ্রীন এন্টারপ্রাইস বিডি 
Afreen Fashion,আফ্রীন ফ্যাশন 
Afreen Gallery,আফ্রীন গ্যালারি 
Afreen Mart,আফ্রীন মার্ট 
Afreh,আফ্রেহ 
afresh,আফ্রেশ 
Afreshly,আফ্রেশ্লি 
AFRICAN,আফ্রিকান 
African Automobile,আফ্রিকান অটোমোবাইল 
African Elephant Pels,আফ্রিকান এলিফ্যান্ট পেলস 
African Leopard,আফ্রিকান লেওপার্ড 
AFRICAN MANGOMAXÃ¢âÂ¢,আফ্রিকান mangomaxã¢ââ¢ 
AFRICAN MANGOMAXâ¢,আফ্রিকান mangomaxâ¢ 
Afridi Shopping Mall,আফ্রিদি শপিং মল 
afrin,আফ্রিন 
Afrin Corporation,আফ্রিন কর্পোরেশন 
Afrin Cosmatics,আফ্রিন কসমেটিক্স 
Afrin Enterprise,আফ্রিন এন্টারপ্রাইস 
Afrin Fashion,আফ্রিন ফ্যাশন 
Afrin Fashion BD,আফ্রিন ফ্যাশন বিডি 
Afrin it Computer,আফ্রিন আইটি কমপিউটার 
Afrin Leather Fashion,আফ্রিন লেদার ফ্যাশন 
Afrin RD,আফ্রিন রদ 
Afrina's Collection,আফরিনাস কালেকশন 
Afrin's Collection,আফরিনস কালেকশন 
Afrin's Fashion,আফরিনস ফ্যাশন 
Afrique,আফ্রিকুএ 
Afriso,আফ্রিস 
Afrocat,আফ্রকাত 
Afroja Trade International,আফ্রজা ট্রেড ইন্টারন্যাশনাল 
Afrose Akhter,আফ্রসে আখতার 
Afrose Trading,আফ্রসে ট্রেডিং 
Afroz Collection BD,আফরোজ কালেকশন বিডি 
Afroz Collection Point,আফরোজ কালেকশন পয়েন্ট 
Afroza Fashion,আফ্রযা ফ্যাশন 
Afroza Trading,আফ্রযা ট্রেডিং 
Afroza's Collection's,আফরোজাস কালেকশন্স 
AFS,আফস 
AFS JEEP,আফস জিপ 
Afsa Unique product,আফসা ইউনিক প্রোডাক্ট 
AFSANA BD,আফসানা বিডি 
afsana fashion,আফসানা ফ্যাশন 
Afsana Fashion House,আফসানা ফ্যাশন হাউস 
Afsana's Choice,আফসানাস চয়েস 
Afsar Brothers,আফসার ব্রাদার্স 
Afsara Classic,আফসারা ক্লাসিক 
afsari beauty,আফসারি বিউটি 
Afsari Fashion,আফসারি ফ্যাশন 
Afser Enterprise,আফসের এন্টারপ্রাইস 
Afsha Production,আফশা প্রোডাকশন 
Afsheen,আফশীন 
Afsheen Beauty,আফশীন বিউটি 
Afsheen collection,আফশীন কালেকশন 
Afsheen Fashion,আফশীন ফ্যাশন 
Afsheen Kitchen,আফশীন কিচেন 
Afsheen product,আফশীন প্রোডাক্ট 
AFSIN,আফসিন 
AFSIN STORE,আফসিন স্টোর 
Aftab Cosmetics,আফতাব কসমেটিক্স 
Aftabiya library,আফতাবিয়া লাইব্রেরি 
AFTAMED,আফতামেদ 
AFTAZ,আফতায 
AFTCO,আফটকো 
AFTER 90 HOLD LIVE,আফটার ৯০ হোল্ড লাইভ 
After Eight,আফটার এইট 
After Hours,আফটার আওয়ার 
After Inked Tattoo Aftercare,আফটার ইঙ্কেদ ট্যাটু আফটারকেয়ার 
Afterglow Science,আফটারগ্লও সায়েন্স 
Aftermarket,আফটারমারকেত 
Aftermarket Bangladesh,আফটারমারকেত বাংলাদশে 
Aftermarket motorsports,আফটারমারকেত মটরস্পোর্টস 
AfterMarketbd,আফটারমার্কেটবিডি 
AfterMarketbd.com,আফটারমার্কেটবিডি কম 
Afternoon Deck,আফটারনুন ডেক 
AFTERPARTZ,আফটারপারটয 
AfterRace,আফটাররেইস 
Aftershock,আফটারশচক 
Aftershokz,আফটারশকয 
AfterWerk,আফটারওয়ের্ক 
Afuan Trade,আফুয়ান ট্রেড 
Afureru,আফুরেরু 
Afwar's Creation,য়াফ ক্রিয়েশন 
AFXF,আফক্সফ 
Afzal,আফজাল 
Afzal's BD,আফজালস বিডি 
AG Fashion,আগ ফ্যাশন 
AG Fashion Corner,আগ ফ্যাশন কর্নার 
AG Ferti,আগ ফেরটি 
AG Garden,আগ গার্ডেন 
AG Plastic Industries,আগ প্লাস্টিক ইন্ডাস্ট্রিস 
AG Simple Design,আগ সিম্পল ডিজাইন 
AG Touche,আগ তউছে 
AGAAE,আগাআএ 
agadget2020,আগাদ্গেত২০২০ 
against,এগেইন্সট 
Against The Grain,এগেইন্সট দা গ্রাইন 
AGAM,আগাম 
Agama,আগামা 
Agamee Prakashani,আগামী প্রকাশনী 
Agamee Prokashoni,আগামী প্রকাশনী 
Agamon Enterprise,আগামন এন্টারপ্রাইস 
Aganippe,আগানিপ্পে 
AgaOne,আগাওনে 
Agarwood KKY,আগার্বুদ ক্ক্য 
Agasio,আগাসিও 
Agate,আগাতে 
Agatha Fashion,আগাথা ফ্যাশন 
AGATHA RUIZ DE LA PRADA,আগাথা রুইয ডি লা প্রাদা 
agazzang,আগাযযাং 
Agbistue,আগবিইস্টুএ 
AGC,আগচ 
AGD,আগদ 
Age of Empires,এজ অফ ইম্পায়ারস 
Age Stop Switzerland,এজ স্টপ সুইজারল্যান্ড 
Age Under Five,এজ আন্ডার ফাইভ 
Agelo,এজেলো 
AgeLOC,এজেলোক 
AGENDA,এজন্দা 
AGENNDA SUPPLY CO,এজন্নদা সাপ্লাই কোম্পানি 
Agent Bangla,এজেন্ট বাংলা 
Agent Provocateur,এজেন্ট প্রভকাতেউর 
AGetel,এজতেল 
Agf,এজিএফ 
Agfa,আগফা 
AGFA Photo,আগফা ফটো 
Agglo,আজ্ঞল 
Agha Noor,অঘা নূর 
Aghanoor,আঘানুর 
AGIANA,আগিয়ানা 
Agigator,আগিগাটর 
Agilite,আগিলাইট 
Agility | Speed | Plyometrics,আগিলিটি | স্পিড | পলিমেট্রিক্স 
AgimbalGear,এগিম্বালগিয়ার 
AGIP,এজিপ 
AGIPY,এজিপি 
Agitation,এজিতাশন 
Agitator,এজিটাটর 
AGKupel,এজকুপেল 
AGL,এজিএল 
Aglaia,আগ্লাইয়া 
AGM,এজিএম 
AGN ENTERPRISE,এজিএন এন্টারপ্রাইস 
Agnelle,আগ্নেল্লে 
Agni,অগ্নি 
Agni Konna,অগ্নি কণ্যা 
Agnik Fashion,আগ্নিক ফ্যাশন 
AGNix,আগ্নিক্স 
AGNONA,আগ্ননা 
Agoal,আগয়াল 
Agolds,আগোল্ডস 
AGORA,আগোরা 
AGP SHOP,এজিপি শপ 
AGPLUS+,agplus+ 
AGPtek,আগপ্তেক 
Agrabadelectric,আগ্রাবাদইলেক্ট্রিক 
AGRANI BEEJ BEPONI,আগ্রনি বীজ বেপনি 
Agrani Shopping,আগ্রনি শপিং 
Agreal,আগ্রেয়াল 
Agrey handicraft,আগ্রেয় হ্যান্ডিক্রাফট 
Agrey Hometex,আগ্রেয় হোমটেক্স 
Agri,আগ্রি 
Agri Life,আগ্রি লাইফ 
Agricola,আগ্রিচলা 
Agricola Punica,আগ্রিচলা পিউনিকা 
Agricola Sant Josep,আগ্রিচলা সান্ত জসেপ 
Agricultural Tools,এগ্রিকালচারাল টুলস 
Agride,আগ্রিড 
Agro,এগ্রো 
Agro Fresh,এগ্রো ফ্রেশ 
Agro Friends,এগ্রো ফ্রেন্ডস 
Agro Merchandise,এগ্রো ম্যারচ্যান্ডাইজ 
AGRO MERCHANDISE LTD,এগ্রো ম্যারচ্যান্ডাইজ লিমিটেড 
Agro Story,এগ্রো স্টোরি 
AGRO TECH,এগ্রো টেক 
AGRO TOOLS,এগ্রো টুলস 
agrobd,এগ্রোবিডি 
Agrodoot,এগ্রোদুত 
Agrodoot and Company,এগ্রোদুত অ্যান্ড কোম্পানি 
