not_found_org,not_found_mod,not_found_trans,not_found_cat
(bmr),(bmr),(bmr),TL-NW-SP-Error
(bod),(bod),(bod),TL-NW-SP-Error
(bottomslim),(bottomslim),(bottomslim),TL-NW-SP-Error
(bsl),(bsl),(bsl),TL-NW-SP-Error
(formerly,(formerly,(formerly,TL-NW-SP-Error
(gesb),(gesb),(gesb),TL-NW-SP-Error
(kepong),(kepong),(kepong),TL-NW-SP-Error
(m),(m),(m),TL-NW-SP-Error
+o,+o,+o,TL-NW-Error
12),12),12),TL-NW-SP-Error
20b,20b,???,TL-NW-ALNUM
??,??,??,TL-NW-SP-Error
???,???,???,TL-NW-SP-Error
?????,?????,?????,TL-NW-SP-Error
a+o,a+o,a+o,TL-NW-Error
aaa+,aaa+,aaa+,TL-NW-Error
acho,acho,??,TL-NW-ALNUM
advisor,aZD`va`isor,??????????,TL-NW-ALNUM
alfalfa,alfalfa,???????,TL-NW-ALNUM
algae,algae,??????,TL-NW-ALNUM
alkaline,alkala`in,?????????,TL-NW-ALNUM
aluminium,aluminium,?????????,TL-NW-ALNUM
aquariium,aZKuariium,?????????????,TL-NW-ALNUM
areca,areka,?????,TL-NW-ALNUM
avis,avis,????,TL-NW-ALNUM
awara,a`Oara,??????,TL-NW-ALNUM
azliza,azliza,??????,TL-NW-ALNUM
b'n'm,b'n'm,b'n'm,TL-NW-SP-Error
b'natural-bn,b'natural-bn,b'natural-bn,TL-NW-SP-Error
b's,b's,b's,TL-NW-SP-Error
b'twin,b'twin,b'twin,TL-NW-SP-Error
b-deshi,b-deshi,b-deshi,TL-NW-Error
b-dikailu,b-dikailu,b-dikailu,TL-NW-Error
b-forest,b-forest,b-forest,TL-NW-Error
b-greeen,b-greeen,b-greeen,TL-NW-Error
b-green,b-green,b-green,TL-NW-Error
b-grip,b-grip,b-grip,TL-NW-Error
b-jaga,b-jaga,b-jaga,TL-NW-Error
b-klean,b-klean,b-klean,TL-NW-Error
b-land,b-land,b-land,TL-NW-Error
b-lex,b-lex,b-lex,TL-NW-Error
b-line,b-line,b-line,TL-NW-Error
b-mart,b-mart,b-mart,TL-NW-Error
b-mom,b-mom,b-mom,TL-NW-Error
b-storm,b-storm,b-storm,TL-NW-Error
b-tex,b-tex,b-tex,TL-NW-Error
b-trac,b-trac,b-trac,TL-NW-Error
b-xin,b-xin,b-xin,TL-NW-Error
b-yen,b-yen,b-yen,TL-NW-Error
b:,b:,b:,TL-NW-SP-Error
babol,babol,????,TL-NW-ALNUM
bachelet,bacheleT,???????,TL-NW-ALNUM
baik,baik,????,TL-NW-ALNUM
bakes,beks,?????,TL-NW-ALNUM
banghuashi,banghuashi,??????????,TL-NW-ALNUM
barber,barber,??????,TL-NW-ALNUM
bastarz,basTarz,????????,TL-NW-ALNUM
bazer,bazer,?????,TL-NW-ALNUM
bd&a,bd&a,bd&a,TL-NW-SP-Error
bd(bangladesh),bd(bangladesh),bd(bangladesh),TL-NW-SP-Error
bd-deal,bd-deal,bd-deal,TL-NW-Error
bd-exclusive-1,bd-exclusive-1,bd-exclusive-1,TL-NW-Error
bd-hut,bd-hut,bd-hut,TL-NW-Error
bd-kor,bd-kor,bd-kor,TL-NW-Error
bd-likes,bd-likes,bd-likes,TL-NW-Error
bd-mart,bd-mart,bd-mart,TL-NW-Error
bd-shopping,bd-shopping,bd-shopping,TL-NW-Error
bd-sunbeam,bd-sunbeam,bd-sunbeam,TL-NW-Error
bd-tech,bd-tech,bd-tech,TL-NW-Error
bd21,bd21,?????,TL-NW-ALNUM
bd24,bd24,?????,TL-NW-ALNUM
bd_gadget,bd_gadget,bd_gadget,TL-NW-SP-Error
bdadultshop,bdaZDalTshop,??????????????,TL-NW-ALNUM
bdaw2g5dd9,bdaw2g5dd9,????????????,TL-NW-ALNUM
bdaw2gljhc,bdaw2gljhc,???????????,TL-NW-ALNUM
bdbaz,bdbaz,??????,TL-NW-ALNUM
bdbitan,bdbitan,????????,TL-NW-ALNUM
bdbookers,bdbookers,?????????,TL-NW-ALNUM
bdbuyandsell,bdbaiandsel,??????????????,TL-NW-ALNUM
bdchomok,bdchomok,??????,TL-NW-ALNUM
bdcom,bdkom,?????,TL-NW-ALNUM
bdeshi,bdeshi,??????,TL-NW-ALNUM
bdeshishop,bdeshishop,????????,TL-NW-ALNUM
bdfashion,bdfZashon,?????????,TL-NW-ALNUM
bdfation,bdfa`Son,???????,TL-NW-ALNUM
bdgadget24,bdgZajeT24,????????????,TL-NW-ALNUM
bdgens,bdgens,????????,TL-NW-ALNUM
bdgiant,bdgiant,??????????,TL-NW-ALNUM
bdgift,bdgifT,???????,TL-NW-ALNUM
bdgiftshop,bdgifTshop,?????????,TL-NW-ALNUM
bdgn,bdgn,??????,TL-NW-ALNUM
bdgs,bdgs,?????,TL-NW-ALNUM
bdh,bdh,???,TL-NW-ALNUM
bdhills,bdhills,????????,TL-NW-ALNUM
bdi,bdi,????,TL-NW-ALNUM
bditzone,bditjOn,????????,TL-NW-ALNUM
bdjam,bdjam,??????,TL-NW-ALNUM
bdjs,bdjs,?????,TL-NW-ALNUM
bdkiddy,bdkiDdy,?????????,TL-NW-ALNUM
bdkoo,bdkoo,?????,TL-NW-ALNUM
bdkor,bdkor,?????,TL-NW-ALNUM
bdkroy,bdkroy,???????,TL-NW-ALNUM
bdl,bdl,????,TL-NW-ALNUM
bdlines,bdla`ins,?????????,TL-NW-ALNUM
bdmarket24,bdmarrKeT24,????????????,TL-NW-ALNUM
bdmart,bdMarrT,????????,TL-NW-ALNUM
bdmugs,bdmugs,???????,TL-NW-ALNUM
bdnuts,bdnaTs,???????,TL-NW-ALNUM
bdonline,bdonla`in,????????,TL-NW-ALNUM
bdonlineshopxyz,bdonlineshopxyz,bdonlineshopxyz,Long-word
bdpanda,bdpanda,?????????,TL-NW-ALNUM
bdposhak,bdposhak,???????,TL-NW-ALNUM
bds,bds,????,TL-NW-ALNUM
bdsheba,bdsheba,???????,TL-NW-ALNUM
bdshoap,bdshoap,???????,TL-NW-ALNUM
bdshop,bdshop,?????,TL-NW-ALNUM
bdsiinbad,bdsiinbad,??????????,TL-NW-ALNUM
bdsops,bdsops,???????,TL-NW-ALNUM
bdtechguru,bdTekguru,??????????,TL-NW-ALNUM
bdtoner,bdToner,???????,TL-NW-ALNUM
bdwh,bdwh,??????,TL-NW-ALNUM
bdxpress,bdxpris,???????????,TL-NW-ALNUM
bdyd,bdyd,??????,TL-NW-ALNUM
bdzon,bdzon,?????,TL-NW-ALNUM
bdzoon,bdzoon,??????,TL-NW-ALNUM
be-desi,be-desi,be-desi,TL-NW-Error
be-tech,be-tech,be-tech,TL-NW-Error
beaba,beaba,??????,TL-NW-ALNUM
beachbody,beachboDi,????????,TL-NW-ALNUM
beachborn,beachborn,????????,TL-NW-ALNUM
beachcombers,beachkombers,????????????,TL-NW-ALNUM
beachhouse,beachha`us,?????????,TL-NW-ALNUM
beachkin,beachkin,????????,TL-NW-ALNUM
beachtuff,beachtuff,?????????,TL-NW-ALNUM
beacolux,bIKOlux,?????????,TL-NW-ALNUM
beacon,bIKOn,?????,TL-NW-ALNUM
beaconshealth,bIKOnshilth,?????????,TL-NW-ALNUM
bead,biD,???,TL-NW-ALNUM
beadaholique,biDaholique,??????????,TL-NW-ALNUM
beadas,biDas,?????,TL-NW-ALNUM
beadery,biDeri,??????,TL-NW-ALNUM
beading,biDing,?????,TL-NW-ALNUM
beadszone,biDsjOn,???????,TL-NW-ALNUM
beadtime,biDTaim,???????,TL-NW-ALNUM
beagrans,beagrans,???????????,TL-NW-ALNUM
bealls,bealls,????????,TL-NW-ALNUM
beamdog,bimdog,?????,TL-NW-ALNUM
beamer,bimer,?????,TL-NW-ALNUM
beamnova,bimnova,???????,TL-NW-ALNUM
beams,bims,????,TL-NW-ALNUM
bean,bean,?????,TL-NW-ALNUM
beanayraa,beanayraa,?????????,TL-NW-ALNUM
beanbags,beanbZags,???????????,TL-NW-ALNUM
beanie,beanie,???????,TL-NW-ALNUM
beanpole,beanpole,???????,TL-NW-ALNUM
beanzzzz,beanzzzz,?????????,TL-NW-ALNUM
bearcliff,biyarrkliff,????????????,TL-NW-ALNUM
beard,biyard,??????,TL-NW-ALNUM
beardilizer,biyardilizer,????????????,TL-NW-ALNUM
beardy,biyardy,????????,TL-NW-ALNUM
bearing,biyaring,???????,TL-NW-ALNUM
bearings,biyarings,????????,TL-NW-ALNUM
bearington,biyaringTon,?????????,TL-NW-ALNUM
bearking,biyarking,????????,TL-NW-ALNUM
bearpath,biyarpath,????????,TL-NW-ALNUM
