Original_Word,translated_words
BD&A,bd&a 
BD. Trendy Shop,বিডি ট্রেন্ডি শপ 
BD_Gadget,bd_gadget 
bd21,বিডি২১ 
bdadultshop,বিডিএডাল্টশপ 
BDAW2G5DD9,বিডিএডব্লু২গ৫দ্দ৯ 
BDAW2GLJHC,বিডিএডব্লু২গ৫দ্দ৯ 
BDB Sky Shop,বি ডি বি স্কাই শপ 
BDBAZ,বিডিবায 
bdbazar,বিডি বাজার 
bdbazar.,বিডি বাজার 
bdbc,বি ডি বি সি 
BDBITAN,বিডিবিতান 
bdbookers,বেডবুকের্স 
BDbuyandsell,বিডিবাইএন্ডসেল 
BdChomok,বিডিচমক 
BDCOM,বিডিকম 
BD-Deal,bd-deal 
B-Deshi BD,b-deshi বিডি 
Bdeshi Collections,বিদেশি কালেকশন্স 
Bdeshi Jinish,বিদেশি জিনিস 
Bdeshi Shop,বিদেশি শপ 
Bdeshishop Fashion,বিদেশীশ্প ফ্যাশন 
BD-EXCLUSIVE-1,bd-exclusive-1 
BDFashion - Export/Non export product,বিডিফেশন - export/non এক্সপর্ট প্রোডাক্ট 
BDFation,বিডিফেশন 
bdgadget24,বিডিগ্যজেট২৪ 
BDGENS,বিডিগেন্স 
Bdgiant,বিডিগিয়ান্ট 
BDGift,বিডিগিফ্ট 
Bdgift net,বিডিগিফ্ট নেট 
BDGiftshop,বদ্গীফটশপ 
BDGN,বিডিজিএন 
BDGS,বিডিজিএস 
BDH,বিডিএইচ 
bdhills,বিডিহিলস 
Bd-Hut,bd-hut 
BDI Shop,বিডিআই শপ 
B-Dikailu,b-dikailu 
BDiTZone,বিডিআইটিজোন 
BDJAM,বিডিজাম 
bdjs,বিডিজিএস 
bdkiddy,বিডিকিড্ডি 
BDKOO,বিডিকও 
BDKOR,বিডিকোর 
BD-KOR,bd-kor 
BDKROY,বিডিক্রয় 
bdkroy onli,বিডিক্রয় অনলি 
BDL Bangladesh,বিডিএল বাংলাদশে 
BD-LIKES WORLD,bd-likes ওয়ার্ল্ড 
bdlines,বিডিলাইনস 
Bdmarket24,বিডিমার্কেট২৪ 
BDMart,বিডিমার্ট 
BD-Mart,bd-mart 
BDMart24 Bazar,বিডি মার্ট ২৪ বাজার 
Bdmix24Bazar,বিডিমিক্স২৪বাজার 
BDmugs,বিডিমুগস 
bdnuts,বিডিনাটস 
BDonline Shopping,বিডিওনলাইন শপিং 
BDonlineshopXYZ,bdonlineshopxyz 
bdpanda,বিডিপান্ডা 
bdPoshak,বিডিপোশাক 
BDS,বিডিএস 
BDS Web Host,বিডিএস ওয়েব হোস্ট 
bdsheba,বিডিসেবা 
bdshoap.com,বিডিসশপ কম 
BdShop BD,বিডিশপ বিডি 
BD-SHOPPING CENTER,bd-shopping সেন্টার 
BdSiinbad,বিডিসিইনবাদ 
Bdsops,বিডিসপস 
BD-SUNBEAM,bd-sunbeam 
BD-TecH DG,bd-tech দ্গ 
BDTechGuru,বিডিটেকগুরু 
bdtoner,বিডিটোনের 
BDWH,বিডিডাবলুএইচ 
BDXPRESS,বিডিএক্সপ্রেস 
BDYD,বিডিওয়াইডি 
Bdzon,বিডিজোন 
bdzoon,বিডিজোন 
BE  BLUE,বে ব্লু 
BE & CHERRY,বে এন্ড চেরি 
BE ABLE,বে এবল 
Be Active (formerly sore no more),বে অ্যাক্টিভ (formerly সরে নো মোড়) 
Be Amazing Toys,বে অ্যামেজিং টয়েস 
Be Awara,বে আওয়ারা 
BE BE,বে বে 
Be Boldz,বে বোল্ডজ 
Be Classy,বে ক্লাসি 
Be Clean,বে ক্লিন 
Be colors,বে কালারস 
Be Deshi Gallery,বে দেশই গ্যালারি 
Be For You,বে ফর ইউ 
Be Fresh,বে ফ্রেশ 
Be GLAD,বে গ্লাড 
Be Glamorous,বে গ্ল্যামারাস 
Be Gorgeous,বে গর্জিয়াস 
BE International,বে ইন্টারন্যাশনাল 
BE International Marketing Sdn. Bhd.,বে ইন্টারন্যাশনাল মার্কেটিং এস ডি এন বিএইচডি 
Be Jojoba,বে জোজোবা 
BE MAKEUP,বে মেকআপ 
Be Mod,বে মড 
Be Natural,বে ন্যাচারাল 
BE PRESENT,বে প্রেসেন্ট 
BE Q,বে কিউ 
be Sanctuary Spa,বে স্যাঞ্চুরি স্পা 
bE Shop,বে শপ 
Be Simple,বে সিম্পল 
BE SPECIAL TO U,বে স্পেশাল টু ইউ 
Be Stylish,বে স্টাইলিশ 
Be Technologies,বে টেকনোলজিস 
Be The Glamorous,বে দা গ্ল্যামারাস 
Be The King,বে দা কিং 
be the skin,বে দা স্কিন 
BE UNIQUE,বে ইউনিক 
BE*LA,বেলা 
Be.ez,বে ez 
Beaba,বেবাবা 
beach,বীচ 
Beach Ball,বীচ বল 
Beach Bamboo Yoga Mat,বীচ ব্যাম্বো ইয়গা মত 
Beach Camera,বীচ ক্যামেরা 
Beach Love,বীচ লাভ 
Beach Wear,বীচ ওয়্যার 
Beachbody,বীচবোডি 
BEACHBORN,বীচবোর্ন 
Beachcombers,বীচকম্বার্স 
BeachHouse Publishing,বীচহাইউস পাবলিশিং 
Beachkin,বীচস্কিন 
BeachTuff,বীচস্টাফ 
Beacolux,বীচকুলুক্স 
Beacon,বেকন 
BEACON HOMETEXTILE,বেকন হোমটেক্সটাইল 
BeaconsHealth,বেকনসেলথ 
Bead Buddy,বেড বাডি 
Beadaholique,বেডহলিক 
Beadas,বেয়াডস 
Beadery,বেডরই 
Beading.my,বিডিং মাই 
beadsZONE,বেডজোন 
Beadtime,বেডটাইম 
BEAGRANS,বেয়াগ্র্যান্স 
Bealls,বেল্স 
Beam,বিম 
Beamdog,বেআমডগ 
Beamnova,বেয়ামনোভা 
Beams,বিমস 
Bean,বিন 
Bean Bag BD,বিন ব্যাগ বিডি 
Bean Bag Collection,বিন ব্যাগ কালেকশন 
Bean Bag Factory,বিন ব্যাগ ফ্যাক্টরি 
BEAN BODY,বিন বডি 
Bean Plus,বিন প্লাস 
Bean Pole Outdoor,বিন পলে আউটডোর 
Bean Rester,বিন রেস্টের 
Bean Shipper,বিন শিপের 
BEANAYRAA,বিনেরা 
beanbags,বিনব্যাগস 
Beanie Babies,বেণিই বেবিএস 
Beanie Nap,বেণিই ন্যাপ 
BEANPOLE,বিনপোলে 
beanpole outdoor,বিনপোলে আউটডোর 
Beans N Berries,বিনস এন বের্রীজ 
Beanzzzz,বেনজজ 
Bear Bear Cup,বেয়ার বেয়ার কাপ 
Bear Club,বেয়ার ক্লাব 
Bear Fashion,বেয়ার ফ্যাশন 
Bear Figures Holding A Round Clock,বেয়ার ফিগারস হোল্ডিং এ রাউন্ড ক্লক 
Bear Hug,বেয়ার হাগ 
BEAR KING,বেয়ার কিং 
Bear KompleX,বেয়ার কমপ্লেক্স 
Bear Leader,বেয়ার লিডার 
Bear Motion,বেয়ার মোশন 
Bear Welcome,বেয়ার ওয়েলকাম 
Bearcliff,বেয়ারক্লিফ 
BEARD BOY TACTICAL,বেয়ার্ড বয় ট্যাকটিক্যাল 
BEARD BROS,বেয়ার্ড ব্রোস 
BEARD BROS WEAR,বেয়ার্ড ব্রোস ওয়্যার 
Beard goal,বেয়ার্ড গোল 
Beard Growth Oil,বেয়ার্ড গ্রোথ অয়েল 
Beard Hood,বেয়ার্ড হুড 
Beard Oil,বেয়ার্ড অয়েল 
Beard.On,বেয়ার্ড অন 
Beardilizer,বেআরডিলিজের 
Beardy,বেয়ার্ডি 
Bearing,বেয়ারিং 
Bearington,বেয়ারিংটোন 
Bearking,বেয়ারকিং 
Bearpath,বেয়ারপাঠ 
BEARPAW,বেয়ারপাও 
bearpaw kids,বেয়ারপাও কিডস 
BEARS VS BABIES,বেয়ারস ভি এস বেবিএস 
Beary,বেয়ারি 
Beary bear,বেয়ারি বেয়ার 
BEARZ,বেয়ার্জ 
Beast,বিস্ট 
Beast & Gadgets,বিস্ট এন্ড গ্যাজেটস 
Beast Cloud,বিস্ট ক্লাউড 
Beast Kingdom,বিস্ট কিংডম 
Beast Nutrition,বিস্ট নিউট্রিশন 
Beastgrip,বিস্টগ্রিপ 
Beasts King,বিস্টস কিং 
Beasy,ব্যাসি 
Beasy Wholesale,ব্যাসি হোলসেল 
Beat Bangladesh,বিট বাংলাদশে 
Beat Bd,বিট বিডি 
Beat Beauty Cosmetics,বিট বিউটি কসমেটিক্স 
Beat By Dr Dre,বিট বাই ড. ডি আর ই 
beat clothing,বিট ক্লোথিং 
Beat it,বিট আইটি 
Beat Solo2,বিট সোলো২ 
Beatit,ব্যতীত 
Beatles,ব্যাটলেস 
Beatofhow,বিটফো 
Beatrice Home Fashions,বিট্রাইস হোম ফ্যাশনস 
Beatrix,বিট্রিক্স 
Beatrix NY,বিট্রিক্স নয় 
Beats By Dr. Dre,বিটস বাই ড. ডি আর ই 
Beats power wireless earphone,বিটস পাওয়ার ওয়ারলেস ইয়ারফোন 
Beatzellz,বিটজেলজ 
BEAU BAG,বেয়াউ ব্যাগ 
Beau Cadeau,বেয়াউ ক্যাডেল 
Beau La Vie,বেয়াউ লা ভিএ 
Beau Lueur,বেয়াউ লুইউর 
Beau Skin,বেয়াউ স্কিন 
Beauarti,বিউয়ারটি 
Beaubelle,বেলবেলে 
beauco,বিউকো 
